file,line,snippet
src/pages/HRApplicants.tsx,93,"await supabase.from(""hr_applicants"").update({ status: ""rejected"" }).eq(""id"", applicantId);"
src/pages/Payroll.tsx,57,"return supabase.from(""driver_payouts"").insert({"
src/pages/admin/DynastyDirectOps.tsx,88,"await supabase.from(""wholesalers"").update({"
src/pages/admin/DynastyDirectOps.tsx,95,"await supabase.from(""wholesalers"").update({"
src/pages/admin/HistoricalImportReview.tsx,63,"await supabase.from(TABLES[kind] as any).update(update).eq('id', row.stage_id);"
src/pages/admin/SmsSystemTests.tsx,54,"await supabase.from(""sms_test_logs"").insert({"
src/pages/auth/StoreSignupPage.tsx,59,".update({ used_at: new Date().toISOString(), used_by: data.user?.id ?? null })"
src/pages/bland-dial/BlandDialHubPage.tsx,317,".update({ raw_payload: { ...(activeLog?.raw_payload ?? {}), operator_note: statusNote.trim(), operator_status: newStatus"
src/pages/brandaro/BuildPipelinePage.tsx,91,"await (supabase as any).from(""brandaro_build_jobs"").update({"
src/pages/brandaro/CallingOpsPage.tsx,272,"await (supabase as any).from(""brandaro_call_queue"").update({ updated_at: new Date().toISOString() }).eq(""id"", item.id);"
src/pages/brandaro/ClientDemoViewPage.tsx,68,"(supabase as any).from(""brandaro_urgency"").upsert({"
